day,session_name,trial_index_session,correct,rt_sec,moving_accuracy,moving_rt,moving_rt_from_stimulus,target_label,selected_label
2026-06-02,syllable_top50,41,1,1.9531153999269009,1.0,2.4832154999952762,1.4915954999952763,수,수
2026-06-02,syllable_top50,42,1,4.05430019996129,1.0,2.509213299979456,1.4625332999794558,관,관
2026-06-02,syllable_top50,43,1,1.9827320000622424,1.0,2.4735392399830745,1.4268992399830744,동,동
2026-06-02,syllable_top50,44,1,2.0738995999563485,1.0,2.4807219999842345,1.4792419999842346,리,리
2026-06-02,syllable_top50,45,1,1.7441640000324696,1.0,2.2431477200007066,1.2968077200007064,이,이
2026-06-02,syllable_top50,46,1,1.8032754000741988,1.0,2.2263998300069945,1.2800598300069943,소,소
2026-06-02,syllable_top50,47,1,3.093699600081891,1.0,2.3213185500120743,1.2897485500120744,계,계
2026-06-02,syllable_top50,48,1,1.683086900040507,1.0,2.3301943200174717,1.2986243200174719,가,가
2026-06-02,syllable_top50,49,1,2.853497200179845,1.0,2.3434925300301983,1.2416625300301984,원,원
2026-06-02,syllable_top50,50,1,2.1335218001622707,1.0,2.3375292100477965,1.2105592100477964,국,국
2026-06-04,all_consonants,1,1,0.9468247001059352,1.0,0.9468247001059352,0.4964247001059353,ㅆ,ㅆ
2026-06-04,all_consonants,2,1,1.2038249999750406,1.0,1.075324850040488,0.7751248500404879,ㅈ,ㅈ
2026-06-04,all_consonants,3,1,1.042497399961576,1.0,1.0643823666808505,0.7475823666808505,ㅁ,ㅁ
2026-06-04,all_consonants,4,1,1.5618565999902785,1.0,1.1887509250082076,0.8636509250082075,ㅍ,ㅍ
2026-06-04,all_consonants,5,1,0.96593980002217,1.0,1.144188700011,0.794048700011,ㄲ,ㄲ
2026-06-04,all_consonants,6,1,0.7898899998981506,1.0,1.0851389166588585,0.7350222499921918,ㄹ,ㄹ
2026-06-04,all_consonants,7,1,0.9361574999056756,1.0,1.0638558571226895,0.7137558571226894,ㅌ,ㅌ
2026-06-04,all_consonants,8,1,1.1829850000794977,1.0,1.0787469999922905,0.7536594999922905,ㅂ,ㅂ
2026-06-04,all_consonants,9,1,1.6946065998636186,1.0,1.147175844422438,0.8193202888668825,ㅎ,ㅎ
2026-06-04,all_consonants,10,1,1.201684300089255,1.0,1.1526266899891198,0.8225566899891197,ㅋ,ㅋ
2026-06-04,all_consonants,11,1,1.1245367000810802,1.0,1.1703978899866343,0.8703678899866342,ㅅ,ㅅ
2026-06-04,all_consonants,12,1,1.0102037000469863,1.0,1.1510357599938288,0.8510057599938289,ㅇ,ㅇ
2026-06-04,all_consonants,13,1,1.443387100007385,1.0,1.1911247299984098,0.8810847299984097,ㄸ,ㄸ
2026-06-04,all_consonants,14,1,1.0644843999762088,1.0,1.1413875099970028,0.8212775099970028,ㅉ,ㅉ
2026-06-04,all_consonants,15,1,1.8435737998224797,1.0,1.2291509099770337,0.9090109099770338,ㅃ,ㅃ
2026-06-04,all_consonants,16,1,1.7218474999535829,1.0,1.322346659982577,1.0022066599825767,ㅊ,ㅊ
2026-06-04,all_consonants,17,1,0.9323640000075102,1.0,1.3219673099927605,1.0218273099927602,ㄷ,ㄷ
2026-06-04,all_consonants,18,1,0.8860962998587638,1.0,1.292278439970687,0.992138439970687,ㄴ,ㄴ
2026-06-04,all_consonants,19,1,0.7698629999067634,1.0,1.1998040799750016,0.9196640799750015,ㄱ,ㄱ
2026-06-04,all_consonants,20,1,1.835170099977404,1.0,1.2631526599638163,0.9830126599638163,ㅁ,ㅁ
2026-06-04,all_consonants,21,1,0.7236352998297662,1.0,1.223062519938685,0.942922519938685,ㄱ,ㄱ
2026-06-04,all_consonants,22,1,1.3465283999685198,1.0,1.2566949899308384,0.9765549899308382,ㅂ,ㅂ
2026-06-04,all_consonants,23,1,1.013131600106135,1.0,1.2136694399407133,0.9435394399407133,ㅌ,ㅌ
2026-06-04,all_consonants,24,1,0.7856022999621928,1.0,1.1857812299393118,0.9257212299393117,ㄹ,ㄹ
2026-06-04,all_consonants,25,1,1.933584000216797,1.0,1.1947822499787435,0.9447822499787435,ㅍ,ㅍ
2026-06-04,all_consonants,26,1,1.0153017998673022,1.0,1.1241276799701154,0.8741276799701154,ㅎ,ㅎ
2026-06-04,all_consonants,27,1,1.0248589999973774,1.0,1.1333771799691021,0.8833771799691021,ㅅ,ㅅ
2026-06-04,all_consonants,28,1,1.0979007999412715,1.0,1.154557629977353,0.8745176299773529,ㅆ,ㅆ
2026-06-04,all_consonants,29,1,1.1588447000831366,1.0,1.1934557999949902,0.8833557999949904,ㅃ,ㅃ
2026-06-04,all_consonants,30,1,0.7533030000049621,1.0,1.085269089997746,0.795169089997746,ㄴ,ㄴ
2026-06-04,all_consonants,31,1,0.9057153000030668,1.0,1.103477090015076,0.8133770900150761,ㄷ,ㄷ
2026-06-04,all_consonants,32,1,1.0838959000539037,1.0,1.0772138400236144,0.7570438400236145,ㅉ,ㅉ
2026-06-04,all_consonants,33,1,0.935297799995169,1.0,1.069430460012518,0.7492604600125178,ㅊ,ㅊ
2026-06-04,all_consonants,34,1,0.8750625001266599,1.0,1.0783764800289646,0.7782064800289646,ㅇ,ㅇ
2026-06-04,all_consonants,35,1,0.8754147998988628,1.0,0.9725595599971711,0.6623795599971711,ㄸ,ㄸ
2026-06-04,all_consonants,36,1,0.8930392998736352,1.0,0.9603333099978044,0.6401233099978045,ㄲ,ㄲ
2026-06-04,all_consonants,37,1,1.4138212001416832,1.0,0.999229530012235,0.679019530012235,ㅈ,ㅈ
2026-06-04,all_consonants,38,1,0.9890105000231416,1.0,0.9883405000204222,0.678170500020422,ㅋ,ㅋ
2026-06-04,all_vowels,1,1,1.4224884998984637,1.0,1.4224884998984637,0.7206884998984635,ㅟ,ㅟ
2026-06-04,all_vowels,2,1,1.4749066000804305,1.0,1.448697549989447,0.6217475499894469,ㅘ,ㅘ
2026-06-04,all_vowels,3,1,1.4738260998856276,1.0,1.4570737332881738,0.7891070666215071,ㅡ,ㅡ
2026-06-04,all_vowels,4,1,1.5635355999693274,1.0,1.4836891999584623,0.8074141999584622,ㅚ,ㅚ
2026-06-04,all_vowels,5,1,1.983690599910915,1.0,1.5836894799489527,0.7921094799489528,ㅒ,ㅒ
2026-06-04,all_vowels,6,1,1.8036905999761077,1.0,1.6203563332868118,0.8019229999534785,ㅕ,ㅕ
2026-06-04,all_vowels,7,1,1.6232273001223805,1.0,1.620766471406179,0.7831236142633217,ㅝ,ㅝ
2026-06-04,all_vowels,8,1,1.4737493998836726,1.0,1.6023893374658655,0.7881393374658655,ㅢ,ㅢ
2026-06-04,all_vowels,9,1,1.1748522999696434,1.0,1.5548852221885074,0.7865852221885076,ㅗ,ㅗ
2026-06-04,all_vowels,10,1,1.5080091999843717,1.0,1.550197619968094,0.763417619968094,ㅠ,ㅠ
2026-06-04,all_vowels,11,1,1.299479499924928,1.0,1.5378967199707403,0.7811667199707404,ㅜ,ㅜ
2026-06-04,all_vowels,12,1,1.6245341999456286,1.0,1.5528594799572601,0.7961494799572602,ㅛ,ㅛ
2026-06-04,all_vowels,13,1,1.1142724000383168,1.0,1.5169041099725291,0.7551041099725291,ㅏ,ㅏ
2026-06-04,all_vowels,14,1,1.473315800074488,1.0,1.5078821299830452,0.7460421299830451,ㅔ,ㅔ
2026-06-04,all_vowels,15,1,1.7441289001144469,1.0,1.4839259600033983,0.7220459600033984,ㅖ,ㅖ
2026-06-04,all_vowels,16,1,1.5037379001732916,1.0,1.4539306900231168,0.6920906900231169,ㅑ,ㅑ
2026-06-04,all_vowels,17,1,1.1165562998503449,1.0,1.4032635899959132,0.6966035899959132,ㅓ,ㅓ
2026-06-04,all_vowels,18,1,1.024205599911511,1.0,1.358309209998697,0.701699209998697,ㅣ,ㅣ
2026-06-04,all_vowels,19,1,1.3840292000677437,1.0,1.3792269000085071,0.692546900008507,ㅐ,ㅐ
2026-06-04,all_vowels,20,1,1.4731111999135464,1.0,1.3757371000014245,0.6891571000014245,ㅘ,ㅘ
2026-06-04,all_vowels,21,1,1.9975326999556275,1.0,1.4455424200044946,0.7038224200044944,ㅕ,ㅕ
2026-06-04,all_vowels,22,1,1.3240366999525577,1.0,1.4154926700051875,0.6988226700051874,ㅐ,ㅐ
2026-06-04,all_vowels,23,1,1.2340093001257628,1.0,1.4274663600139321,0.6858363600139319,ㅢ,ㅢ
2026-06-04,all_vowels,24,1,1.47429749998264,1.0,1.4275645300047473,0.6608045300047471,ㅝ,ㅝ
2026-06-04,all_vowels,25,1,2.280218600062653,1.0,1.4811734999995678,0.7696134999995679,ㅚ,ㅚ
2026-06-04,all_vowels,26,1,1.1838429998606443,1.0,1.449184009968303,0.7927240099683031,ㅜ,ㅜ
2026-06-04,all_vowels,27,1,0.9960743999108672,1.0,1.4371358199743554,0.7806758199743553,ㅓ,ㅓ
2026-06-04,all_vowels,28,1,1.530556300189346,1.0,1.487770890002139,0.7510008900021389,ㅠ,ㅠ
2026-06-04,all_vowels,29,1,1.353578999871388,1.0,1.4847258699825034,0.7479358699825033,ㅔ,ㅔ
2026-06-04,all_vowels,30,1,2.104013899806887,1.0,1.5478161399718373,0.7809561399718373,ㅒ,ㅒ
2026-06-04,all_vowels,31,1,1.479378200136125,1.0,1.496000689989887,0.7292206899898872,ㅛ,ㅛ
2026-06-04,all_vowels,32,1,1.1447534000035375,1.0,1.478072359994985,0.7413623599949852,ㅗ,ㅗ
2026-06-04,all_vowels,33,1,1.504438899923116,1.0,1.5051153199747203,0.7632753199747204,ㅟ,ㅟ
2026-06-04,all_vowels,34,1,0.9407020998187364,1.0,1.45175577995833,0.76511577995833,ㅏ,ㅏ
2026-06-04,all_vowels,35,1,1.538355200085789,1.0,1.3775694399606437,0.6658194399606436,ㅑ,ㅑ
2026-06-04,all_vowels,36,1,0.8732435000129044,1.0,1.3465094899758696,0.6598894899758696,ㅣ,ㅣ
2026-06-04,all_vowels,37,1,1.9063381000887605,1.0,1.437535859993659,0.6657058599936589,ㅖ,ㅖ
2026-06-04,all_vowels,38,1,1.38396849995479,1.0,1.4228770799702033,0.7113570799702034,ㅡ,ㅡ
2026-06-04,basic_consonants,1,1,1.469796400051564,1.0,1.469796400051564,1.319796400051564,ㅂ,ㅂ
2026-06-04,basic_consonants,2,1,1.0291662998497486,1.0,1.2494813499506563,1.0994813499506564,ㄷ,ㄷ
2026-06-04,basic_consonants,3,1,0.799551900010556,1.0,1.0995048666372895,0.9495048666372895,ㅇ,ㅇ
2026-06-04,basic_consonants,4,1,1.2643534000962973,1.0,1.1407170000020415,0.9907170000020415,ㅈ,ㅈ
2026-06-04,basic_consonants,5,1,0.693900499958545,1.0,1.0513536999933422,0.9013536999933421,ㄱ,ㄱ
2026-06-04,basic_consonants,6,1,0.6213970999233425,1.0,0.9796942666483422,0.8296942666483421,ㄴ,ㄴ
2026-06-04,basic_consonants,7,1,1.016426800051704,1.0,0.9849417714202511,0.834941771420251,ㅅ,ㅅ
2026-06-04,basic_consonants,8,1,0.7533191000111401,1.0,0.9559889374941122,0.8059889374941122,ㅅ,ㅅ
2026-06-04,basic_consonants,9,1,0.7848251999821514,1.0,0.9369707444372276,0.7869707444372277,ㅇ,ㅇ
2026-06-04,basic_consonants,10,1,0.7085462999530137,1.0,0.9141282999888063,0.7641282999888063,ㄷ,ㄷ
2026-06-04,basic_consonants,11,1,1.234093400184065,1.0,0.8905580000020563,0.7405580000020564,ㅂ,ㅂ
2026-06-04,basic_consonants,12,1,0.6697237000335008,1.0,0.8546137400204316,0.7046137400204315,ㄱ,ㄱ
2026-06-04,basic_consonants,13,1,1.0940237999893725,1.0,0.8840609300183132,0.7340609300183132,ㅈ,ㅈ
2026-06-04,basic_consonants,14,1,0.6511200000531971,1.0,0.8227375900140033,0.6727375900140032,ㄴ,ㄴ
2026-06-04,basic_vowels,1,1,1.2062248999718577,1.0,1.2062248999718577,0.8562248999718577,ㅡ,ㅡ
2026-06-04,basic_vowels,2,1,0.9646421000361444,1.0,1.085433500004001,0.7100835000040009,ㅗ,ㅗ
2026-06-04,basic_vowels,3,1,1.05555639998056,1.0,1.075474466662854,0.6915411333295206,ㅓ,ㅓ
2026-06-04,basic_vowels,4,1,1.1078141999896616,1.0,1.0835593999945559,0.7581093999945558,ㅣ,ㅣ
2026-06-04,basic_vowels,5,1,0.902130999835208,1.0,1.0472737199626863,0.7066537199626863,ㅜ,ㅜ
2026-06-04,basic_vowels,6,1,0.862914799945429,1.0,1.0165472332931433,0.6658805666264768,ㅏ,ㅏ
2026-06-04,basic_vowels,7,1,0.8751020999625325,1.0,0.9963407856744847,0.6384407856744847,ㅜ,ㅜ
2026-06-04,basic_vowels,8,1,1.4518069000914693,1.0,1.0532740499766078,0.6963615499766078,ㅡ,ㅡ
2026-06-04,basic_vowels,9,1,0.8978295000270009,1.0,1.0360024333155404,0.6742024333155404,ㅏ,ㅏ
2026-06-04,basic_vowels,10,1,0.9408863000571728,1.0,1.0264908199897036,0.6858708199897036,ㅣ,ㅣ
2026-06-04,basic_vowels,11,1,0.8469632999040186,1.0,0.9905646599829196,0.6448746599829196,ㅗ,ㅗ
2026-06-04,basic_vowels,12,1,0.8731567000504583,1.0,0.9814161199843511,0.6356861199843511,ㅓ,ㅓ
2026-06-04,complex_vowels,1,1,1.863835999974981,1.0,1.863835999974981,0.910935999974981,ㅝ,ㅝ
2026-06-04,complex_vowels,2,1,1.893815600080416,1.0,1.8788258000276985,1.0516758000276982,ㅐ,ㅐ
2026-06-04,complex_vowels,3,1,1.625050000147894,1.0,1.7942338667344302,0.9254338667344301,ㅘ,ㅘ
2026-06-04,complex_vowels,4,1,2.253862699959427,1.0,1.9091410750406794,1.0822410750406792,ㅚ,ㅚ
2026-06-04,complex_vowels,5,1,2.2548296998720616,1.0,1.9782788000069558,1.0661988000069558,ㅒ,ㅒ
2026-06-04,complex_vowels,6,1,2.142961700214073,1.0,2.0057259500414752,1.036792616708142,ㅖ,ㅖ
2026-06-04,complex_vowels,7,1,1.7775018999818712,1.0,1.9731225143186748,1.0423510857472462,ㅟ,ㅟ
2026-06-04,complex_vowels,8,1,1.7750552999787033,1.0,1.9483641125261784,1.0462391125261783,ㅔ,ㅔ
2026-06-04,complex_vowels,9,1,1.7757708998396993,1.0,1.9291870888943474,0.9880982000054586,ㅒ,ㅒ
2026-06-04,complex_vowels,10,1,1.5939054999034852,1.0,1.895658929995261,0.978538929995261,ㅐ,ㅐ
2026-06-04,complex_vowels,11,1,1.47370360000059,1.0,1.856645689997822,0.964655689997822,ㅔ,ㅔ
2026-06-04,complex_vowels,12,1,1.6839956999756396,1.0,1.8356636999873444,0.9185236999873446,ㅝ,ㅝ
2026-06-04,complex_vowels,13,1,1.5629165000282228,1.0,1.8294503499753774,0.9373403499753774,ㅟ,ㅟ
2026-06-04,complex_vowels,14,1,1.7134660999290643,1.0,1.775410689972341,0.8281006899723412,ㅖ,ㅖ
2026-06-04,complex_vowels,15,1,1.683465600013733,1.0,1.7182742799865083,0.8261242799865082,ㅚ,ㅚ
2026-06-04,complex_vowels,16,1,1.5633913001511246,1.0,1.6603172399802133,0.7982772399802134,ㅘ,ㅘ
2026-06-04,double_consonants,1,1,1.0130119000095874,1.0,1.0130119000095874,0.5623119000095874,ㅉ,ㅉ
2026-06-04,double_consonants,2,1,0.782225500093773,1.0,0.8976187000516802,0.4472187000516802,ㄸ,ㄸ
2026-06-04,double_consonants,3,1,1.078361500054598,1.0,0.9578663000526527,0.5073996333859861,ㅃ,ㅃ
2026-06-04,double_consonants,4,1,1.1436526998877523,1.0,1.0043129000114277,0.5538629000114277,ㅆ,ㅆ
2026-06-04,double_consonants,5,1,0.7772640001494437,1.0,0.9589031200390309,0.508483120039031,ㄲ,ㄲ
2026-06-04,double_consonants,6,1,0.9391127000562848,1.0,0.9556047167085732,0.5051380500419066,ㅉ,ㅉ
2026-06-04,double_consonants,7,1,0.7967438001651317,1.0,0.9329103000595101,0.482467442916653,ㄲ,ㄲ
2026-06-04,double_consonants,8,1,0.924519999884069,1.0,0.93186151253758,0.48139901253758,ㅃ,ㅃ
2026-06-04,double_consonants,9,1,0.7834701000247151,1.0,0.9153735778139284,0.46495135559170614,ㄸ,ㄸ
2026-06-04,double_consonants,10,1,0.9354886000510304,1.0,0.9173850800376385,0.46696508003763854,ㅆ,ㅆ
2026-06-04,double_vowels,1,1,1.6006634999066591,1.0,1.6006634999066591,0.9501634999066592,ㅢ,ㅢ
2026-06-04,double_vowels,2,1,1.4062051000073552,1.0,1.5034342999570072,0.7016342999570072,ㅠ,ㅠ
2026-06-04,double_vowels,3,1,1.2679582999553531,1.0,1.4249422999564558,0.5731089666231225,ㅛ,ㅛ
2026-06-04,double_vowels,4,1,1.2460894000250846,1.0,1.380229074973613,0.503179074973613,ㅕ,ㅕ
