condition_name,trial_in_condition,rolling_accuracy_mean,rolling_accuracy_sem,rolling_rt_correct_mean,rolling_rt_correct_sem,n_subjects
C6_LowB,10,0.0,,,,1
C6_LowB,11,0.0,,,,1
C6_LowB,12,0.0,,,,1
C6_LowB,13,0.1111111111111111,,,,1
C6_LowB,14,0.1111111111111111,,,,1
C6_LowB,15,0.1111111111111111,,,,1
C6_LowB,16,0.1111111111111111,,,,1
C6_LowB,17,0.1111111111111111,,,,1
C6_LowB,18,0.1111111111111111,,,,1
C6_LowB,19,0.2222222222222222,,2.8568979499395937,,1
C6_LowB,20,0.2222222222222222,,2.8568979499395937,,1
C6_LowB,21,0.3333333333333333,,2.1775196999466666,,1
C6_LowB,22,0.2222222222222222,,0.7724228999577463,,1
C6_LowB,23,0.2222222222222222,,0.7724228999577463,,1
C6_LowB,24,0.2222222222222222,,0.7724228999577463,,1
C6_LowB,25,0.3333333333333333,,1.4862490999512374,,1
C6_LowB,26,0.4444444444444444,,1.3855531249428168,,1
C6_LowB,27,0.4444444444444444,,1.3855531249428168,,1
C6_LowB,28,0.4444444444444444,,1.7300219499738887,,1
C6_LowB,29,0.4444444444444444,,1.7300219499738887,,1
C6_LowB,30,0.4444444444444444,,1.8564151249593124,,1
C6_LowB,31,0.4444444444444444,,1.8564151249593124,,1
C6_LowB,32,0.5555555555555556,,1.7021288199815898,,1
C6_LowB,33,0.6666666666666666,,1.9295771000130724,,1
C6_LowB,34,0.5555555555555556,,1.7327122200280427,,1
